Company,Valuation ($B),Date Joined,Country,Industry,Select Investors
Starry,$1.27,3/27/2018,United States,Mobile & telecommunications,"Social Capital, Bessemer Venture Partners"
Samsara Networks,$5.40,3/22/2018,United States,Hardware,"Andreessen Horowitz, General Catalyst"
Tempus,$5,3/21/2018,United States,Health,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Coocaa,$1.45,3/16/2018,China,Hardware,"Baidu, Tencent Holdings"
YITU Technology,$2.37,3/8/2018,China,Artificial intelligence,"Sequoia Capital China, Banyan Capital"
17zuoye,$1,03/07/2018,China,Edtech,"DST Global, Temasek Holdings"
Atom Bank,$1.25,3/7/2018,United Kingdom,Fintech,"Toscafund Asset Management, Woodford Investment Management, BBVA"
UiPath,$6.40,3/2/2018,United States,Artificial intelligence,"Accel, capitalG, Earlybrid Venture Capital, Seedcamp"
Nubank,$10,3/1/2018,Brazil,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures"
DoorDash,$16,3/1/2018,United States,"Supply chain, logistics, & delivery","Softbank Group, Sequoia Capital, Khosla Ventures"
NuCom Group,$2.20,2/22/2018,Germany,Other,General Atlantic
Lalamove,$1,02/21/2018,Hong Kong,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
OrCam Technologies,$1,02/21/2018,Israel,Artificial intelligence,"Intel Capital, Aviv Venture Capital"
EasyHome,$5.70,2/12/2018,China,Consumer & retail,"Alibaba Group, Boyu Capital, Borui Capital"
Rani Therapeutics,$1,2/8/2018,United States,Health,"Google Ventures, VentureHealth, InCube Ventures"
Snowflake Computing,$12.40,1/25/2018,United States,Data management & analytics,"Redpoint Ventures,Iconiq Capital, Madrona Venture Group"
Hive Box,$1.40,1/23/2018,China,"Supply chain, logistics, & delivery","Eastern Bell Capital, SF Holding Co, STO Express"
Cabify,$1.40,1/22/2018,Spain,Auto & transportation,"Seaya Ventures, Otter Rock Capital, Rakuten"
CAOCAO,$1.60,1/17/2018,China,Auto & transportation,"People Electrical Appliance Group China, Zhongrong International Trust"
Ziroom,$6.60,1/17/2018,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Warburg Pincus, General Catalyst"
Meicai,$2.80,1/11/2018,China,Mobile & telecommunications,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Canva,$6,01/08/2018,Australia,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Zhangmen,$1,12/26/2017,China,Edtech,"Shunwei Capital Partners, QingSong Fund, Warburg Pincus"
Carbon,$2.40,12/20/2017,United States,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group"
JUUL Labs,$12,12/20/2017,United States,Consumer & retail,Tiger Global Management
Squarespace,$1.70,12/14/2017,United States,Internet software & services,"General Atlantic, Index Ventures, Accel Partners"
Ginkgo BioWorks,$4.20,12/14/2017,United States,Health,"Y Combinator, Data Collective, MassVentures"
Affirm,$2.90,12/11/2017,United States,Fintech,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund"
Payoneer,$1,12/5/2017,United States,Fintech,"Susquehanna Growth Equity, 83North, China Broadband Capital"
HeartFlow,$1.50,12/4/2017,United States,Health,"BlueCross BlueShield Venture Partners, US Venture Partners"
Radius Payment Solutions,$1.07,11/27/2017,United Kingdom,Fintech,Inflexion Private Equity
Niantic,$4,11/24/2017,United States,Mobile & telecommunications,"Nintendo, Google, Pokemon Company International, Spark Capital"
BGL Group,$3,11/24/2017,United Kingdom,Fintech,CPP Investment Board
Bukalapak,$2.50,11/16/2017,Indonesia,E-commerce & direct-to-consumer,"500 Startups, Batavia Incubator, Emtek Group"
Maimai,$1,11/15/2017,China,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures"
WeLab,$1,11/8/2017,Hong Kong,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
InVision,$1,11/1/2017,United States,Internet software & services,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
XiaoZhu,$1,11/1/2017,China,Travel,"Morningside Ventures, Capital Today, JOY Capital"
SouChe Holdings,$3,11/1/2017,China,E-commerce & direct-to-consumer,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
Face++ (Megvii),$4,10/31/2017,China,Artificial intelligence,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Revolution Precrafted,$1,10/23/2017,Philippines,Other,"K2 Global, 500 Startups"
Yidian Zixun,$1.40,10/17/2017,China,Mobile & telecommunications,"Phoenix New Media, Tianjin Haihe Industry Fund"
OakNorth,$2.80,10/12/2017,United Kingdom,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Tongdun Technology,$2,10/10/2017,China,Cybersecurity,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Supreme,$1,10/9/2017,United States,Consumer & retail,The Carlyle Group
Indigo Agriculture,$3.50,9/26/2017,United States,Artificial intelligence,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Deliveroo,$2,9/25/2017,United Kingdom,"Supply chain, logistics, & delivery","Accel Partners, General Catalyst, Index Ventures"
Ximalaya FM,$1.52,9/22/2017,China,Mobile & telecommunications,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
YH Global,$1,9/21/2017,China,"Supply chain, logistics, & delivery","Co-Energy Finance, Grandland"
United Imaging Healthcare,$5,9/14/2017,China,Health,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
Rubicon Global,$1,8/25/2017,United States,Other,"Goldman Sachs, Leonardo DiCaprio, Promecap"
Vista Global,$2.50,8/23/2017,Malta,Other,Rhone Capital
Vipkid,$4.50,8/23/2017,China,Edtech,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Cambricon,$2.50,8/18/2017,China,Artificial intelligence,
The Hut Group,$3.25,08/13/2017,United Kingdom,E-commerce & direct-to-consumer,"KKR, Old Mutual Global Investors, Artemis Investment Management"
Coinbase,$8,8/10/2017,United States,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth"
Cell C,$1,8/8/2017,South Africa,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies"
Dianrong,$1,8/2/2017,China,E-commerce & direct-to-consumer,"Standard Chartered, FinSight Ventures, Affirma Capital"
reddit,$1.80,7/31/2017,United States,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management"
Traveloka,$2,7/28/2017,Indonesia,Travel,"Global Founders Capital, East Ventures, Expedia Inc."
DotC United Group,$1,7/25/2017,China,Mobile & telecommunications,"Chengwei Capital, Lightspeed China Partners, Morningside Venture Capital"
BYJU'S,$10.50,7/25/2017,India,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
Luoji Siwei,$1.17,7/20/2017,China,Edtech,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
Desktop Metal,$1.50,7/17/2017,United States,Hardware,"Australian Future Fund, GE Ventures, Data Collective"
SenseTime,$7.50,7/11/2017,China,Artificial intelligence,"Star VC, IDG Capital, Infore Capital, Alibaba Group"
Zhaogang,$1,6/29/2017,China,E-commerce & direct-to-consumer,"K2 Ventures, Matrix Partners China, IDG Capital"
Otto Bock HealthCare,$3.50,6/24/2017,Germany,Health,EQT Partners
AvidXchange,$1.40,6/8/2017,United States,Fintech,"Temasek Holdings, Charlotte Angel Partners, TPG Growth"
DT Dream,$1.50,6/8/2017,China,Data management & analytics,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
Yuanfudao,$7.80,5/31/2017,China,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital"
Symphony Communication Services,$1.40,5/16/2017,United States,Internet software & services,"BNP Paribas, Goldman Sachs, Google"
Improbable,$2,5/12/2017,United Kingdom,Other,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
Clover Health,$1.20,5/10/2017,United States,Health,"Google Ventures, Sequoia Capital, First Round Capital"
Rubrik,$3.30,4/28/2017,United States,Data management & analytics,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Robinhood,$8.30,4/26/2017,United States,Fintech,"Google Ventures, Andreessen Horowitz, DST Global"
Quora,$2,4/21/2017,United States,Internet software & services,"Y Combinator, Matrix Partners, Benchmark"
Zhuan Zhuan,$1,4/18/2017,China,E-commerce & direct-to-consumer,"58.com, Tencent Holdings"
Afiniti,$1.80,4/14/2017,United States,Artificial intelligence,GAM Holding
Katerra,$1,4/13/2017,United States,"Supply chain, logistics, & delivery","Foxconn Technology Company, Khosla Ventures, Moore Capital Management"
BrewDog,$1.15,4/10/2017,United Kingdom,Consumer & retail,"TSG Consumer Partners, Crowdcube"
Toutiao (Bytedance),$75,4/7/2017,China,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
Avaloq Group,$1.01,3/22/2017,Switzerland,Fintech,Warbug Pincus
Rocket Lab,$1,3/21/2017,United States,Other,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners"
C3,$1.40,3/2/2017,United States,Artificial intelligence,"Makena Capital Management, TPG Growth, Breyer Capital"
GRAIL,$3.20,3/1/2017,United States,Health,"Kleiner Perkins Caufield & Byers, Amazon, Merck & Co."
CGTZ,$1.40,2/21/2017,China,Fintech,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
ReNew Power,$2,2/14/2017,India,Other,"Goldman Sachs, JERA, Asian Development Bank"
Zhihu,$2.50,1/12/2017,China,Internet software & services,"Tencent Holdings, Sinovation Ventures, Qiming Venture Partners"
AppLovin,$1.40,1/1/2017,United States,Mobile & telecommunications,"Orient Hontai Capital, Webb Investment Network"
Global Switch,$11.08,12/22/2016,United Kingdom,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Kendra Scott,$1,12/21/2016,United States,Consumer & retail,"Berkshire Partners, Norwest Venture Partners"
